name_translations,city_code,country_code,time_zone,code,iata_type,name,coordinates,flightable
{'en': 'Sarichef'},WSF,US,America/Anchorage,WSF,airport,Sarichef,"{'lat': 54.583332, 'lon': -164.91667}",False
{'en': 'Morenci'},CFT,US,America/Phoenix,CFT,airport,Morenci,"{'lat': 33.05, 'lon': -109.3}",False
{'en': 'Nightmute Airport'},NME,US,America/Anchorage,NME,airport,Nightmute Airport,"{'lat': 60.471046, 'lon': -164.70084}",True
{'en': 'Shawnee Municipal'},SNL,US,America/Chicago,SNL,airport,Shawnee Municipal,"{'lat': 35.333332, 'lon': -96.916664}",False
{'en': 'Olpoi'},OLJ,VU,Pacific/Efate,OLJ,airport,Olpoi,"{'lat': -14.884605, 'lon': 166.56003}",False
{'en': 'Momeik'},MOE,MM,Asia/Rangoon,MOE,airport,Momeik,"{'lat': 23.1, 'lon': 96.65}",False
{'en': 'Fluelen Railway Station'},ZHD,CH,Europe/Zurich,ZHD,railway,Fluelen Railway Station,"{'lat': 46.89972, 'lon': 8.62361}",False
{'en': 'Gen. A.V. Cobo Airport'},LET,CO,America/Bogota,LET,airport,Gen. A.V. Cobo Airport,"{'lat': -4.196389, 'lon': -69.939445}",True
{'en': 'Zittau Railway Station'},ZIT,DE,Europe/Berlin,ZIT,railway,Zittau Railway Station,"{'lat': 50.89611, 'lon': 14.80722}",False
{'en': 'Nelkan'},НЛН,RU,Asia/Vladivostok,НЛН,airport,Nelkan,"{'lat': 57.641666412353516, 'lon': 136.1616668701172}",True
{'en': 'Lord Howe Island Airport'},LDH,AU,Australia/Lord_Howe,LDH,airport,Lord Howe Island Airport,"{'lat': -31.540808, 'lon': 159.07816}",True
{'en': 'Wallmuhle'},RBM,DE,Europe/Berlin,RBM,airport,Wallmuhle,"{'lat': 48.901943, 'lon': 12.519722}",False
{'en': 'Limnos Airport'},LXS,GR,Europe/Athens,LXS,airport,Limnos Airport,"{'lat': 39.923904, 'lon': 25.233446}",True
{'en': 'Apolo'},APB,BO,America/La_Paz,APB,airport,Apolo,"{'lat': -14.716667, 'lon': -68.51667}",False
{'en': 'Kerikeri Airport'},KKE,NZ,Pacific/Auckland,KKE,airport,Kerikeri Airport,"{'lat': -35.263283, 'lon': 173.91237}",True
{'en': 'Prudhoe Bay/Deadhorse Airport'},SCC,US,America/Anchorage,SCC,airport,Prudhoe Bay/Deadhorse Airport,"{'lat': 70.203636, 'lon': -148.46011}",True
{'en': 'Bontang'},BXT,ID,Asia/Makassar,BXT,airport,Bontang,"{'lat': 0.166667, 'lon': 117.5}",False
{'en': 'Pathankot'},IXP,IN,Asia/Kolkata,IXP,airport,Pathankot,"{'lat': 32.216667, 'lon': 75.63333}",True
{'en': 'Maupiti'},MAU,PF,Pacific/Tahiti,MAU,airport,Maupiti,"{'lat': -16.427385, 'lon': -152.24236}",True
{'en': 'Mukeiras'},UKR,YE,Asia/Aden,UKR,airport,Mukeiras,"{'lat': 13.933333, 'lon': 45.683334}",False
{'en': 'Mankato Municipal'},MKT,US,America/Chicago,MKT,airport,Mankato Municipal,"{'lat': 44.22361, 'lon': -93.918335}",False
{'en': 'Avra Valley'},TUS,US,America/Phoenix,AVW,airport,Avra Valley,"{'lat': 32.416668, 'lon': -111.21667}",False
{'en': 'Alexandria'},AXN,US,America/Chicago,AXN,airport,Alexandria,"{'lat': 45.86722, 'lon': -95.394165}",False
{'en': 'Januaria'},JNA,BR,America/Sao_Paulo,JNA,airport,Januaria,"{'lat': -15.474167, 'lon': -44.385834}",False
