name_translations,city_code,country_code,time_zone,code,iata_type,name,coordinates,flightable
{'en': 'Port Hardy Airport'},YZT,CA,America/Vancouver,YZT,airport,Port Hardy Airport,"{'lat': 50.680557, 'lon': -127.36389}",True
{'en': 'Nangapinoh'},NPO,ID,Asia/Makassar,NPO,airport,Nangapinoh,"{'lat': -0.333333, 'lon': 111.73333}",False
{'en': 'Francistown Airport'},FRW,BW,Africa/Gaborone,FRW,airport,Francistown Airport,"{'lat': -21.16, 'lon': 27.4825}",True
{'en': 'Imelda Romualdez Marcos'},MXI,PH,Asia/Manila,MXI,airport,Imelda Romualdez Marcos,"{'lat': 6.916667, 'lon': 126.25}",False
{'en': 'Kavalerovo'},KVR,RU,Asia/Vladivostok,KVR,airport,Kavalerovo,"{'lat': 44.266865, 'lon': 135.0357}",True
{'en': 'Wichita Dwight D. Eisenhower National Airport'},ICT,US,America/Chicago,ICT,airport,Wichita Dwight D. Eisenhower National Airport,"{'lat': 37.653046, 'lon': -97.428955}",True
{'en': 'Kentland'},KKT,US,America/Chicago,KKT,airport,Kentland,"{'lat': 40.766666, 'lon': -87.45}",False
{'en': 'Cravo Norte'},RAV,CO,America/Bogota,RAV,airport,Cravo Norte,"{'lat': 6.316667, 'lon': -70.183334}",False
{'en': 'El Calafate Airport'},FTE,AR,America/Argentina/Rio_Gallegos,FTE,airport,El Calafate Airport,"{'lat': -50.284225, 'lon': -72.053696}",True
{'en': 'Gander International Airport'},YQX,CA,America/St_Johns,YQX,airport,Gander International Airport,"{'lat': 48.946667, 'lon': -54.56333}",True
{'en': 'Putussibau Airport'},PSU,ID,Asia/Makassar,PSU,airport,Putussibau Airport,"{'lat': 0.833333, 'lon': 112.933334}",True
{'en': 'Concepcion'},CEP,BO,America/La_Paz,CEP,airport,Concepcion,"{'lat': -16.233334, 'lon': -62.083332}",False
{'en': 'Kongiganak Airport'},KKH,US,America/Nome,KKH,airport,Kongiganak Airport,"{'lat': 59.966667, 'lon': -162.75}",True
{'en': 'Nuuk Airport'},GOH,GL,America/Godthab,GOH,airport,Nuuk Airport,"{'lat': 64.181946, 'lon': -51.725}",True
"{'en': 'Harstad/Narvik Airport, Evenes'}",EVE,NO,Europe/Oslo,EVE,airport,"Harstad/Narvik Airport, Evenes","{'lat': 68.496666, 'lon': 16.679722}",True
{'en': 'Osceola Municipal'},OEO,US,America/Chicago,OEO,airport,Osceola Municipal,"{'lat': 45.3, 'lon': -92.7}",False
{'en': 'Grand Strand Airport'},MYR,US,America/New_York,CRE,airport,Grand Strand Airport,"{'lat': 33.81139, 'lon': -78.72444}",False
{'en': 'Virginia Highlands'},VJI,US,America/New_York,VJI,airport,Virginia Highlands,"{'lat': 36.68611, 'lon': -82.03333}",False
{'en': 'Yeelirrie'},KYF,AU,Australia/Perth,KYF,airport,Yeelirrie,"{'lat': -27.277779, 'lon': 120.075}",False
{'en': 'Kota Kinabalu Port'},ZWR,MY,Asia/Kuching,ZWR,harbour,Kota Kinabalu Port,"{'lat': 5.976474, 'lon': 116.115777}",False
{'en': 'Liepaya Airport'},LPX,LV,Europe/Riga,LPX,airport,Liepaya Airport,"{'lat': 56.516666, 'lon': 21.1}",True
{'en': 'Iowa City'},IOW,US,America/Chicago,IOW,airport,Iowa City,"{'lat': 41.666668, 'lon': -91.53333}",False
{'en': 'London Southend Airport'},LON,GB,Europe/London,SEN,airport,London Southend Airport,"{'lat': 51.572777, 'lon': 0.701389}",True
{'en': 'Porto Alegre Do Norte'},PBX,BR,America/Cuiaba,PBX,airport,Porto Alegre Do Norte,"{'lat': -10.860833, 'lon': -51.684444}",False
{'en': 'Kingfisher Lake'},KIF,CA,America/Winnipeg,KIF,airport,Kingfisher Lake,"{'lat': 53.01389, 'lon': -89.85}",False
{'en': 'Waverney'},WAN,AU,Australia/Brisbane,WAN,airport,Waverney,"{'lat': -25.366667, 'lon': 141.93333}",False
{'en': 'Richmond International Airport (Byrd Field)'},RIC,US,America/New_York,RIC,airport,Richmond International Airport (Byrd Field),"{'lat': 37.50611, 'lon': -77.3225}",True
{'en': 'Kaele'},KLE,CM,Africa/Douala,KLE,airport,Kaele,"{'lat': 10.116667, 'lon': 14.45}",False
{'en': 'Buckland Airport'},BKC,US,America/Anchorage,BKC,airport,Buckland Airport,"{'lat': 65.97889, 'lon': -161.12666}",True
{'en': 'Kisumu Airport'},KIS,KE,Africa/Nairobi,KIS,airport,Kisumu Airport,"{'lat': -0.084946, 'lon': 34.7375}",True
{'en': 'Malelane'},LLE,ZA,Africa/Johannesburg,LLE,airport,Malelane,"{'lat': -25.466667, 'lon': 31.566668}",False
{'en': 'Nashville International Airport'},BNA,US,America/Chicago,BNA,airport,Nashville International Airport,"{'lat': 36.13174, 'lon': -86.668945}",True
{'en': 'Zamboanga International Airport'},ZAM,PH,Asia/Manila,ZAM,airport,Zamboanga International Airport,"{'lat': 6.919294, 'lon': 122.062256}",True
{'en': 'Coari'},CIZ,BR,America/Manaus,CIZ,airport,Coari,"{'lat': -4.083333, 'lon': -63.13333}",True
{'en': 'Europe Railway Station'},LIL,FR,Europe/Paris,XDB,railway,Europe Railway Station,"{'lat': 50.62925, 'lon': 3.057256}",True
{'en': 'Tri-State Steuben County'},ANQ,US,America/Indiana/Indianapolis,ANQ,airport,Tri-State Steuben County,"{'lat': 41.63333, 'lon': -85}",False
{'en': 'Ashgabat Airport'},ASB,TM,Asia/Ashgabat,ASB,airport,Ashgabat Airport,"{'lat': 37.984184, 'lon': 58.366978}",True
{'en': 'Southern Illinois'},MDH,US,America/Chicago,MDH,airport,Southern Illinois,"{'lat': 37.781387, 'lon': -89.24694}",False
{'en': 'Abadan Airport'},ABD,IR,Asia/Tehran,ABD,airport,Abadan Airport,"{'lat': 30.363905, 'lon': 48.226597}",True
{'en': 'Imsik'},BJV,TR,Europe/Istanbul,BXN,airport,Imsik,"{'lat': 37.134724, 'lon': 27.667221}",False
{'en': 'Long Island MacArthur Airport'},ISP,US,America/New_York,ISP,airport,Long Island MacArthur Airport,"{'lat': 40.789314, 'lon': -73.09755}",True
{'en': 'Songkhla'},SGZ,TH,Asia/Bangkok,SGZ,airport,Songkhla,"{'lat': 7.183889, 'lon': 100.61667}",False
{'en': 'Tartu Airport'},TAY,EE,Europe/Tallinn,TAY,airport,Tartu Airport,"{'lat': 58.333332, 'lon': 26.733334}",True
{'en': 'Dixsept Rosado'},MVF,BR,America/Fortaleza,MVF,airport,Dixsept Rosado,"{'lat': -5.166667, 'lon': -37.25}",True
{'en': 'Bauchi'},BCU,NG,Africa/Lagos,BCU,airport,Bauchi,"{'lat': 10.366667, 'lon': 9.8}",True
{'en': 'Attock'},ATG,PK,Asia/Karachi,ATG,airport,Attock,"{'lat': 33.9, 'lon': 72.25}",False
{'en': 'Faya'},FYT,TD,Africa/Ndjamena,FYT,airport,Faya,"{'lat': 17.916668, 'lon': 19.116667}",False
{'en': 'Redcliffe'},RCL,VU,Pacific/Efate,RCL,airport,Redcliffe,"{'lat': -27.207035, 'lon': 153.07333}",False
{'en': 'Beatrice'},BIE,US,America/Chicago,BIE,airport,Beatrice,"{'lat': 40.3, 'lon': -96.75}",False
{'en': 'Puerto Aisen'},WPA,CL,America/Santiago,WPA,airport,Puerto Aisen,"{'lat': -45.4, 'lon': -72.7}",False
{'en': 'Merrill Municipal Airport'},RRL,US,America/Chicago,RRL,airport,Merrill Municipal Airport,"{'lat': 45.183334, 'lon': -89.683334}",False
{'en': 'Texarkana Municipal Airport'},TXK,US,America/Chicago,TXK,airport,Texarkana Municipal Airport,"{'lat': 33.45639, 'lon': -93.98917}",True
{'en': 'Kelowna International Airport'},YLW,CA,America/Vancouver,YLW,airport,Kelowna International Airport,"{'lat': 49.95154, 'lon': -119.38139}",True
{'en': 'Loubomo'},DIS,CG,Africa/Brazzaville,DIS,airport,Loubomo,"{'lat': -4.205556, 'lon': 12.661389}",False
{'en': 'Longview'},KLS,US,America/Los_Angeles,KLS,airport,Longview,"{'lat': 46.15, 'lon': -122.9}",False
{'en': 'Soderhamn'},SOO,SE,Europe/Stockholm,SOO,airport,Soderhamn,"{'lat': 61.3, 'lon': 17.05}",False
{'en': 'Florence Airport'},FLO,US,America/New_York,FLO,airport,Florence Airport,"{'lat': 34.18889, 'lon': -79.72444}",True
{'en': 'Lompoc Airport'},LPC,US,America/Los_Angeles,LPC,airport,Lompoc Airport,"{'lat': 34.63333, 'lon': -120.45}",False
{'en': 'Huntingburg Municipal'},HNB,US,America/Indiana/Vincennes,HNB,airport,Huntingburg Municipal,"{'lat': 38.3, 'lon': -86.95}",False
{'en': 'Mukah Airport'},MKM,MY,Asia/Kuching,MKM,airport,Mukah Airport,"{'lat': 2.906944, 'lon': 112.07972}",True
{'en': 'Stevens Village'},SVS,US,America/Anchorage,SVS,airport,Stevens Village,"{'lat': 66.009445, 'lon': -149.09416}",False
{'en': 'Semipalatinsk Airport'},PLX,KZ,Asia/Almaty,PLX,airport,Semipalatinsk Airport,"{'lat': 50.333332, 'lon': 80.25}",True
{'en': 'Greenbrier'},SSU,US,America/New_York,SSU,airport,Greenbrier,"{'lat': 37.8, 'lon': -80.3}",False
{'en': 'MBS International Airport'},MBS,US,America/Detroit,MBS,airport,MBS International Airport,"{'lat': 43.53339, 'lon': -84.090744}",True
{'en': 'Houn'},HUQ,LY,Africa/Tripoli,HUQ,airport,Houn,"{'lat': 29.5, 'lon': 15.5}",False
{'en': 'Tokat'},TJK,TR,Europe/Istanbul,TJK,airport,Tokat,"{'lat': 40.302223, 'lon': 36.36778}",True
{'en': 'Grimsby Railway Station'},XGY,CA,America/Toronto,XGY,railway,Grimsby Railway Station,"{'lat': 43.193209, 'lon': -79.560692}",False
{'en': 'Barstow-Daggett'},DAG,US,America/Los_Angeles,DAG,airport,Barstow-Daggett,"{'lat': 34.25, 'lon': -117.333336}",False
{'en': 'Mulege'},MUG,MX,America/Mazatlan,MUG,airport,Mulege,"{'lat': 26.916668, 'lon': -111.98333}",False
{'en': 'Fagurholsmyri'},FAG,IS,Atlantic/Reykjavik,FAG,airport,Fagurholsmyri,"{'lat': 63.88333, 'lon': -16.65}",False
{'en': 'Mundulkiri'},MWV,KH,Asia/Phnom_Penh,MWV,airport,Mundulkiri,"{'lat': 12.460556, 'lon': 107.190834}",False
{'en': 'Cessnock'},CES,AU,Australia/Sydney,CES,airport,Cessnock,"{'lat': -32.833332, 'lon': 151.35}",False
{'en': 'Oshawa'},QWA,CA,America/Toronto,YOO,airport,Oshawa,"{'lat': 43.916668, 'lon': -78.9}",False
{'en': 'Ipswich'},IPW,GB,Europe/London,IPW,railway,Ipswich,"{'lat': 52.066666, 'lon': 1.166667}",False
{'en': 'Broadus'},BDX,US,America/Denver,BDX,airport,Broadus,"{'lat': 45.466667, 'lon': -105.36667}",False
{'en': 'Karakol'},IKG,KG,Asia/Bishkek,IKG,airport,Karakol,"{'lat': 42.479821, 'lon': 78.381067}",True
{'en': 'Greater Kankakee'},IKK,US,America/Chicago,IKK,airport,Greater Kankakee,"{'lat': 41.38333, 'lon': -88.25}",False
{'en': 'Wipim'},WPM,PG,Pacific/Port_Moresby,WPM,airport,Wipim,"{'lat': -8.816667, 'lon': 143.03334}",False
{'en': 'El Vigia'},VIG,VE,America/Caracas,VIG,airport,El Vigia,"{'lat': 8.633333, 'lon': -71.65}",False
{'en': 'Girona-Costa Brava Airport'},GRO,ES,Europe/Madrid,GRO,airport,Girona-Costa Brava Airport,"{'lat': 41.89804, 'lon': 2.766383}",True
{'en': 'Minj'},MZN,PG,Pacific/Port_Moresby,MZN,airport,Minj,"{'lat': -5.905556, 'lon': 144.67667}",False
{'en': 'Fumawula'},FVM,MV,Indian/Maldives,FVM,airport,Fumawula,"{'lat': -0.309444, 'lon': 73.43278}",True
{'en': 'Sentani Airport'},DJJ,ID,Asia/Jayapura,DJJ,airport,Sentani Airport,"{'lat': -2.569887, 'lon': 140.51299}",True
{'en': 'Demokritos Airport'},AXD,GR,Europe/Athens,AXD,airport,Demokritos Airport,"{'lat': 40.856785, 'lon': 25.944893}",True
{'en': 'Sisimiut Airport'},JHS,GL,America/Godthab,JHS,airport,Sisimiut Airport,"{'lat': 66.93694, 'lon': -53.704166}",True
{'en': 'Vahitahi'},VHZ,PF,Pacific/Tahiti,VHZ,airport,Vahitahi,"{'lat': -18.583332, 'lon': -138.83333}",False
{'en': 'Thomasville Municipal Airport'},TVI,US,America/New_York,TVI,airport,Thomasville Municipal Airport,"{'lat': 30.9025, 'lon': -83.880554}",False
{'en': 'Sulphur Springs'},SLR,US,America/Chicago,SLR,airport,Sulphur Springs,"{'lat': 33.13333, 'lon': -95.6}",False
{'en': 'Phan Thiet'},PHH,VN,Asia/Ho_Chi_Minh,PHH,airport,Phan Thiet,"{'lat': 10.9, 'lon': 108.066666}",False
{'en': 'Sanderson Field'},SHN,US,America/Los_Angeles,SHN,airport,Sanderson Field,"{'lat': 47.23389, 'lon': -123.138885}",False
{'en': 'Coffee Point'},CFA,US,America/Anchorage,CFA,airport,Coffee Point,"{'lat': 58.216667, 'lon': -157.5}",False
{'en': 'Gillam'},YGX,CA,America/Winnipeg,YGX,airport,Gillam,"{'lat': 56.35, 'lon': -94.7}",True
{'en': 'Haverfordwest'},HAW,GB,Europe/London,HAW,airport,Haverfordwest,"{'lat': 51.8, 'lon': -4.966667}",False
{'en': 'Sion'},SIR,CH,Europe/Zurich,SIR,airport,Sion,"{'lat': 46.25, 'lon': 7.333333}",True
{'en': 'Rongelap Island'},RNP,MH,Pacific/Majuro,RNP,airport,Rongelap Island,"{'lat': 11.15, 'lon': 166.88333}",False
{'en': 'Josefa Camejo Airport'},LSP,VE,America/Caracas,LSP,airport,Josefa Camejo Airport,"{'lat': 11.777155, 'lon': -70.14961}",True
{'en': 'South Weymouth'},NZW,US,America/New_York,NZW,airport,South Weymouth,"{'lat': 42.166668, 'lon': -70.933334}",False
{'en': 'Bright'},BRJ,AU,Australia/Melbourne,BRJ,airport,Bright,"{'lat': -36.7, 'lon': 146.93333}",False
{'en': 'Botopasie'},BTO,SR,America/Paramaribo,BTO,airport,Botopasie,"{'lat': 4.25, 'lon': -55.45}",False
{'en': 'Page Field'},FMY,US,America/New_York,FMY,airport,Page Field,"{'lat': 26.583332, 'lon': -81.86667}",False
{'en': 'Victoria'},VTA,HN,America/Tegucigalpa,VTA,airport,Victoria,"{'lat': 14.95, 'lon': -87.4}",False
{'en': 'Schenectady Railway'},SCH,US,America/New_York,ZTD,railway,Schenectady Railway,"{'lat': 42.8142432, 'lon': -73.9395687}",False
{'en': 'Shank Air Base'},OAA,AF,Asia/Kabul,OAA,airport,Shank Air Base,"{'lat': 33.93793671410532, 'lon': 69.07207292689941}",False
{'en': 'Islamabad International Airport'},ISB,PK,Asia/Karachi,ISB,airport,Islamabad International Airport,"{'lat': 33.55429, 'lon': 72.83417}",True
{'en': 'Poso'},PSJ,ID,Asia/Makassar,PSJ,airport,Poso,"{'lat': -1.383333, 'lon': 120.73333}",False
{'en': 'Amery Municipal'},AHH,US,America/Chicago,AHH,airport,Amery Municipal,"{'lat': 45.3, 'lon': -92.35}",False
{'en': 'Trenton'},YTR,CA,America/Toronto,YTR,airport,Trenton,"{'lat': 44.1, 'lon': -77.583336}",False
{'en': 'Venice Municipal'},VNC,US,America/New_York,VNC,airport,Venice Municipal,"{'lat': 27.066668, 'lon': -82.433334}",False
{'en': 'Ghinnir'},GNN,ET,Africa/Addis_Ababa,GNN,airport,Ghinnir,"{'lat': 7.15, 'lon': 40.716667}",False
{'en': 'Barranca De Upia'},BAC,CO,America/Bogota,BAC,airport,Barranca De Upia,"{'lat': 4.583333, 'lon': -72.96667}",False
{'en': 'Truckee-Tahoe'},TKF,US,America/Los_Angeles,TKF,airport,Truckee-Tahoe,"{'lat': 39.325, 'lon': -120.14167}",False
{'en': 'Shakhtyorsk Airport'},EKS,RU,Asia/Sakhalin,EKS,airport,Shakhtyorsk Airport,"{'lat': 49.190735, 'lon': 142.077703}",True
{'en': 'Dillon'},DLL,US,America/New_York,DLL,airport,Dillon,"{'lat': 34.416668, 'lon': -79.36667}",False
{'en': 'Fuzuli International Airport'},FZL,AZ,Asia/Baku,FZL,airport,Fuzuli International Airport,"{'lat': 39.5944, 'lon': 47.1966}",True
{'en': 'Jauja Airport'},JAU,PE,America/Lima,JAU,airport,Jauja Airport,"{'lat': -11.75, 'lon': -75.25}",True
{'en': 'Unalaska Airport'},DUT,US,America/Nome,DUT,airport,Unalaska Airport,"{'lat': 53.89446, 'lon': -166.54224}",True
{'en': 'Baltasound'},UNT,GB,Europe/London,UNT,airport,Baltasound,"{'lat': 60.766666, 'lon': -0.85}",False
{'en': 'Beauvais-Tille Airport'},PAR,FR,Europe/Paris,BVA,airport,Beauvais-Tille Airport,"{'lat': 49.459488, 'lon': 2.110815}",True
{'en': 'Utti'},UTI,FI,Europe/Helsinki,UTI,airport,Utti,"{'lat': 60.9, 'lon': 26.933332}",False
{'en': 'Island Lake Airport'},YIV,CA,America/Winnipeg,YIV,airport,Island Lake Airport,"{'lat': 54.2, 'lon': -94.78333}",True
{'en': 'Matsapha International'},MTS,SZ,Africa/Mbabane,MTS,airport,Matsapha International,"{'lat': -26.52033, 'lon': 31.314133}",False
{'en': 'Asbestos Hill'},YAF,CA,America/Montreal,YAF,airport,Asbestos Hill,"{'lat': 45.766666, 'lon': -71.95}",False
{'en': 'Hof'},HOQ,DE,Europe/Berlin,HOQ,airport,Hof,"{'lat': 50.289165, 'lon': 11.862222}",False
{'en': 'Nadunumu'},NDN,PG,Pacific/Port_Moresby,NDN,airport,Nadunumu,"{'lat': -9.133333, 'lon': 147.68333}",False
{'en': 'Abbottabad'},AAW,PK,Asia/Karachi,AAW,airport,Abbottabad,"{'lat': 34.2, 'lon': 73.25}",False
{'en': 'Besalampy'},BPY,MG,Indian/Antananarivo,BPY,airport,Besalampy,"{'lat': -16.75, 'lon': 44.483334}",False
{'en': 'Orangeburg Municipal'},OGB,US,America/New_York,OGB,airport,Orangeburg Municipal,"{'lat': 33.5, 'lon': -80.86667}",False
{'en': 'Awaba'},AWB,PG,Pacific/Port_Moresby,AWB,airport,Awaba,"{'lat': -8.016667, 'lon': 142.75}",False
{'en': 'Chamonate Airport'},CPO,CL,America/Santiago,CPO,airport,Chamonate Airport,"{'lat': -27.29892, 'lon': -70.414406}",True
{'en': 'Lucca'},LCV,IT,Europe/Rome,LCV,airport,Lucca,"{'lat': 43.833332, 'lon': 10.583333}",False
{'en': 'Halli'},KEV,FI,Europe/Helsinki,KEV,airport,Halli,"{'lat': 61.583332, 'lon': 24.75}",False
{'en': 'Corcoran'},CRO,US,America/Los_Angeles,CRO,airport,Corcoran,"{'lat': 36.1, 'lon': -119.55}",False
{'en': 'Ticantiki'},TJC,PA,America/Panama,TJC,airport,Ticantiki,"{'lat': 9.408333, 'lon': -78.48889}",False
{'en': 'Talakan'},TLK,RU,Asia/Yakutsk,TLK,airport,Talakan,"{'lat': 59.8692028, 'lon': 111.0437053}",True
{'en': 'D. Z. Romualdez Airport'},TAC,PH,Asia/Manila,TAC,airport,D. Z. Romualdez Airport,"{'lat': 11.22684, 'lon': 125.02592}",True
{'en': 'Dahl Creek Airport'},DCK,US,America/Anchorage,DCK,airport,Dahl Creek Airport,"{'lat': 66.95, 'lon': -156.9}",False
{'en': 'Yllasjarvi Bus Station'},XHA,FI,Europe/Helsinki,XHA,bus,Yllasjarvi Bus Station,"{'lat': 67.52676761230224, 'lon': 24.304550692674965}",False
{'en': 'Calgary International Airport'},YYC,CA,America/Edmonton,YYC,airport,Calgary International Airport,"{'lat': 51.131393, 'lon': -114.01055}",True
{'en': 'Mount Gunson'},GSN,AU,Australia/Adelaide,GSN,airport,Mount Gunson,"{'lat': -31.666668, 'lon': 137.76666}",False
"{'en': ""Cote D'Azur Airport""}",NCE,FR,Europe/Paris,NCE,airport,Cote D'Azur Airport,"{'lat': 43.66049, 'lon': 7.205232}",True
{'en': 'Supadio International Airport'},PNK,ID,Asia/Pontianak,PNK,airport,Supadio International Airport,"{'lat': -0.14735, 'lon': 109.40533}",True
{'en': 'Cheremshanka'},KJA,RU,Asia/Krasnoyarsk,KCY,airport,Cheremshanka,"{'lat': 56.176666259765625, 'lon': 92.5433349609375}",True
{'en': 'Old Crow'},YOC,CA,America/Whitehorse,YOC,airport,Old Crow,"{'lat': 67.583336, 'lon': -139.83333}",True
{'en': 'Hilton Head Airport'},HHH,US,America/New_York,HHH,airport,Hilton Head Airport,"{'lat': 32.216667, 'lon': -80.683334}",True
{'en': 'Muscat International Airport'},MCT,OM,Asia/Muscat,MCT,airport,Muscat International Airport,"{'lat': 23.588078, 'lon': 58.29022}",True
{'en': 'Fort Dodge Airport'},FOD,US,America/Chicago,FOD,airport,Fort Dodge Airport,"{'lat': 42.5525, 'lon': -94.18972}",True
{'en': 'Pasir Pangarayan'},PPR,ID,Asia/Jakarta,PPR,airport,Pasir Pangarayan,"{'lat': 0.833333, 'lon': 100.36667}",False
{'en': 'Zafer Airport'},KZR,TR,Europe/Istanbul,KZR,airport,Zafer Airport,"{'lat': 39.120277, 'lon': 30.116945}",True
{'en': 'J. F. Mitchell'},BQU,VC,America/St_Vincent,BQU,airport,J. F. Mitchell,"{'lat': 12.986667, 'lon': -61.264168}",False
{'en': 'Napanee Railway Station'},XIF,CA,America/Toronto,XIF,railway,Napanee Railway Station,"{'lat': 44.247388, 'lon': -76.950554}",False
{'en': 'Svetlaya'},ETL,RU,Asia/Vladivostok,ETL,airport,Svetlaya,"{'lat': 46.541111, 'lon': 138.31833}",True
{'en': 'Quirindi'},UIR,AU,Australia/Sydney,UIR,airport,Quirindi,"{'lat': -31.5, 'lon': 150.51666}",False
{'en': 'Tokushima Awaodori Airport'},TKS,JP,Asia/Tokyo,TKS,airport,Tokushima Awaodori Airport,"{'lat': 34.139023, 'lon': 134.59483}",True
{'en': 'Notodden Airport'},NTB,NO,Europe/Oslo,NTB,airport,Notodden Airport,"{'lat': 59.583332, 'lon': 9.283333}",True
{'en': 'Milford Sound'},MFN,NZ,Pacific/Auckland,MFN,airport,Milford Sound,"{'lat': -44.669445, 'lon': 167.91112}",False
{'en': 'Seville Airport'},SVQ,ES,Europe/Madrid,SVQ,airport,Seville Airport,"{'lat': 37.423477, 'lon': -5.900136}",True
{'en': 'Emirau'},EMI,PG,Pacific/Port_Moresby,EMI,airport,Emirau,"{'lat': -1.65, 'lon': 149.98334}",False
{'en': 'Klaipeda'},PLQ,LT,Europe/Vilnius,KLJ,airport,Klaipeda,"{'lat': 55.424284, 'lon': 21.143408}",False
{'en': 'Abu Simbel'},ABS,EG,Africa/Cairo,ABS,airport,Abu Simbel,"{'lat': 22.367567, 'lon': 31.609774}",True
{'en': 'Colorado Plains Regional Airport'},AKO,US,America/Denver,AKO,airport,Colorado Plains Regional Airport,"{'lat': 40.166668, 'lon': -103.21667}",False
{'en': 'Campbell River Airport'},YBL,CA,America/Vancouver,YBL,airport,Campbell River Airport,"{'lat': 49.951725, 'lon': -125.26813}",True
{'en': 'Palmarito'},PTM,VE,America/Caracas,PTM,airport,Palmarito,"{'lat': 7.566667, 'lon': -70.183334}",False
{'en': 'Hindon Airport'},HDO,IN,Asia/Kolkata,HDO,airport,Hindon Airport,"{'lat': 28.70579, 'lon': 77.342137}",True
{'en': 'Chaves'},CHV,PT,Europe/Lisbon,CHV,airport,Chaves,"{'lat': 41.733334, 'lon': -7.466667}",False
{'en': 'Sungei Tekai'},GTK,MY,Asia/Kuala_Lumpur,GTK,airport,Sungei Tekai,"{'lat': 2.6, 'lon': 102.916664}",False
{'en': 'Hanamaki Airport'},HNA,JP,Asia/Tokyo,HNA,airport,Hanamaki Airport,"{'lat': 39.426926, 'lon': 141.13077}",True
{'en': 'Sonderborg'},SGD,DK,Europe/Copenhagen,QSG,railway,Sonderborg,"{'lat': 54.913811, 'lon': 9.792178}",True
{'en': 'Elverum Railway Station'},XUC,NO,Europe/Oslo,XUC,railway,Elverum Railway Station,"{'lat': 60.88333, 'lon': 11.56667}",False
{'en': 'Moss Airport'},OSL,NO,Europe/Oslo,RYG,airport,Moss Airport,"{'lat': 59.37903, 'lon': 10.800161}",False
{'en': 'Harbour (Eolie Island)'},ZJE,IT,Europe/Rome,ZJE,harbour,Harbour (Eolie Island),"{'lat': 38.46609418535776, 'lon': 14.95771471807619}",False
{'en': 'Guanajuato International Airport'},BJX,MX,America/Mexico_City,BJX,airport,Guanajuato International Airport,"{'lat': 20.985699, 'lon': -101.479}",True
{'en': 'Wajir Airport'},WJR,KE,Africa/Nairobi,WJR,airport,Wajir Airport,"{'lat': 1.766667, 'lon': 40.6}",True
{'en': 'San Juan County'},MXC,US,America/Denver,MXC,airport,San Juan County,"{'lat': 37.88333, 'lon': -109.36667}",False
{'en': 'Poum'},PUV,NC,Pacific/Noumea,PUV,airport,Poum,"{'lat': -20.294443, 'lon': 164.1014}",False
{'en': 'Mammy Yoko Heliport'},FNA,SL,Africa/Freetown,JMY,heliport,Mammy Yoko Heliport,"{'lat': 8.483333, 'lon': -13.266667}",False
{'en': 'Namrole'},NRE,ID,Asia/Jayapura,NRE,airport,Namrole,"{'lat': -3.816667, 'lon': 126.71667}",False
{'en': 'Nipa'},NPG,PG,Pacific/Port_Moresby,NPG,airport,Nipa,"{'lat': -6.133333, 'lon': 143.36667}",False
{'en': 'Cuyo'},CYU,PH,Asia/Manila,CYU,airport,Cuyo,"{'lat': 10.883333, 'lon': 121}",False
{'en': 'Gambier Island'},GMR,PF,Pacific/Gambier,GMR,airport,Gambier Island,"{'lat': -23.084, 'lon': -134.88757}",True
{'en': 'Presque Isle Municipal Airport'},PQI,US,America/New_York,PQI,airport,Presque Isle Municipal Airport,"{'lat': 46.685, 'lon': -68.0475}",True
{'en': 'Meghauli'},MEY,NP,Asia/Kathmandu,MEY,airport,Meghauli,"{'lat': 27.57639, 'lon': 84.23139}",False
{'en': 'Thaba-Tseka'},THB,LS,Africa/Maseru,THB,airport,Thaba-Tseka,"{'lat': -28.833332, 'lon': 29.5}",False
{'en': 'Kolhapur'},KLH,IN,Asia/Kolkata,KLH,airport,Kolhapur,"{'lat': 16.666668, 'lon': 74.333336}",True
{'en': 'Natadola'},NTA,FJ,Pacific/Fiji,NTA,airport,Natadola,"{'lat': -18.083332, 'lon': 177.31667}",False
{'en': 'Omak Municipal'},OMK,US,America/Los_Angeles,OMK,airport,Omak Municipal,"{'lat': 48.416668, 'lon': -119.51667}",False
{'en': 'Ayodhya Airport'},AYJ,IN,Asia/Kolkata,AYJ,airport,Ayodhya Airport,"{'lat': 26.753333, 'lon': 82.150278}",True
{'en': 'Beijing Daxing International Airport'},BJS,CN,Asia/Shanghai,PKX,airport,Beijing Daxing International Airport,"{'lat': 39.49746, 'lon': 116.41229}",True
{'en': 'Cloncurry Airport'},CNJ,AU,Australia/Brisbane,CNJ,airport,Cloncurry Airport,"{'lat': -20.668905, 'lon': 140.50851}",True
{'en': 'Onslow Airport'},ONS,AU,Australia/Perth,ONS,airport,Onslow Airport,"{'lat': -21.666668, 'lon': 115.1}",True
{'en': 'Lora Lai'},LRG,PK,Asia/Karachi,LRG,airport,Lora Lai,"{'lat': 27.85, 'lon': 65.083336}",False
{'en': 'Tocumwal'},TCW,AU,Australia/Sydney,TCW,airport,Tocumwal,"{'lat': -35.816666, 'lon': 145.6}",False
{'en': 'Param'},PPX,PG,Pacific/Port_Moresby,PPX,airport,Param,"{'lat': -9.995833, 'lon': 149.59166}",False
{'en': 'Newman Airport'},ZNE,AU,Australia/Perth,ZNE,airport,Newman Airport,"{'lat': -23.416517, 'lon': 119.80137}",True
